|    BNAME |         JNAME |               Method |     PI |                              Ref | eminus | eplus |
|          |    J0030+0451 |               Timing |    3.3 |             Lommen et al. (2006) |   -0.9 |   0.9 |
| B0031-07 |    J0034-0721 |          VLBI (VLBA) |   0.93 |         Chatterjee et al. (2009) |  -0.07 |  0.08 |
| B0037+56 |    J0040+5716 |          VLBI (VLBA) |  0.102 |             Deller et al. (2018) | -0.025 | 0.051 |
|          |    J0045-7319 |   Optical (Gaia DR2) |   0.04 |           Jennings et al. (2018) |  -0.06 |  0.06 |
| B0052+51 |    J0055+5117 |          VLBI (VLBA) |   0.35 |             Deller et al. (2018) |  -0.06 |  0.06 |
| B0059+65 |    J0102+6537 |          VLBI (VLBA) |    0.4 |             Deller et al. (2018) |  -0.04 |  0.04 |
|          |    J0108-1431 |           VLBI (LBA) |    4.2 |             Deller et al. (2009) |   -1.4 |   1.4 |
| B0105+65 |    J0108+6608 |          VLBI (VLBA) |   0.47 |             Deller et al. (2018) |  -0.03 |  0.04 |
| B0136+57 |    J0139+5814 |          VLBI (VLBA) |   0.37 |         Chatterjee et al. (2009) |  -0.04 |  0.04 |
| B0144+59 |    J0147+5922 |          VLBI (VLBA) |   0.49 |             Deller et al. (2018) |  -0.09 |  0.04 |
| B0148-06 |    J0151-0635 |          VLBI (VLBA) |   0.22 |             Deller et al. (2018) |  -0.08 |   0.1 |
| B0149-16 |    J0152-1637 |          VLBI (VLBA) |   0.44 |             Deller et al. (2018) |  -0.18 |  0.21 |
| B0154+61 |    J0157+6212 |          VLBI (VLBA) |  0.554 |             Deller et al. (2018) | -0.024 | 0.039 |
|          |    J0218+4232 |           VLBI (EVN) |   0.16 |                 Du et al. (2014) |  -0.09 |  0.09 |
| B0320+39 |    J0323+3944 |          VLBI (VLBA) |   1.05 |             Deller et al. (2018) |  -0.04 |  0.04 |
| B0329+54 |    J0332+5434 |          VLBI (VLBA) |  0.595 |             Deller et al. (2018) | -0.025 |  0.02 |
| B0331+45 |    J0335+4555 |          VLBI (VLBA) |  0.409 |             Deller et al. (2018) | -0.027 | 0.022 |
|          |    J0337+1715 |   Optical (Gaia DR2) |   0.73 |           Jennings et al. (2018) |  -0.24 |  0.24 |
| B0353+52 |    J0357+5236 |          VLBI (VLBA) |  0.305 |             Deller et al. (2018) | -0.077 | 0.029 |
| B0355+54 |    J0358+5413 |          VLBI (VLBA) |   0.91 |         Chatterjee et al. (2004) |  -0.16 |  0.16 |
| B0402+61 |    J0406+6138 |          VLBI (VLBA) |   0.22 |             Deller et al. (2018) |  -0.06 |  0.05 |
|          |    J0437-4715 |   Optical (Gaia DR2) |   8.33 |           Jennings et al. (2018) |  -0.67 |  0.67 |
| B0450-18 |    J0452-1759 |          VLBI (VLBA) |   0.65 |         Chatterjee et al. (2009) |   -0.6 |   1.4 |
| B0450+55 |    J0454+5543 |          VLBI (VLBA) |   0.84 |         Chatterjee et al. (2009) |  -0.05 |  0.04 |
|          |    J0538+2817 |          VLBI (VLBA) |   0.72 |         Chatterjee et al. (2009) |  -0.09 |  0.12 |
| B0559-05 |    J0601-0527 |          VLBI (VLBA) |   0.48 |             Deller et al. (2018) |  -0.04 |  0.04 |
|          |    J0613-0200 |               Timing |    0.8 |           Verbiest et al. (2009) |  -0.35 |  0.35 |
| B0611+22 |    J0614+2229 |          VLBI (VLBA) |  0.282 |             Deller et al. (2018) | -0.031 | 0.022 |
| B0626+24 |    J0629+2415 |          VLBI (VLBA) |   0.33 |             Deller et al. (2018) |  -0.05 |  0.04 |
| B0628-28 |    J0630-2834 |           VLBI (LBA) |    3.0 |             Deller et al. (2009) |   -0.4 |   0.4 |
|  Geminga |    J0633+1746 |  Optical (HST WFPC2) |    6.4 |            Caraveo et al. (1996) |   -1.8 |   1.8 |
|          |    J0636+5129 |               Timing |    4.9 |            Stovall et al. (2014) |   -0.6 |   0.6 |
